S.No.,Country,FTA - 2014,FTA - 2015,FTA - 2016,FTA - 2017,FTA - 2018,
1,Bangladesh,942562,1133879,1380409,2156557,2256675,
2,United States,1118983,1213624,1296939,1376919,1456678,
3,United Kingdom,838860,867601,941883,986296,1029757,
4,Sri Lanka,301601,299513,297418,303590,353684,
5,Canada,268485,281306,317239,335439,351040,
6,Australia,239762,263101,293625,324243,346486,
7,Malaysia,262026,272941,301961,322126,319172,
8,China,181020,206322,251313,247235,281768,
9,Germany,239106,248314,265928,269380,274087,
10,Russian Federation,269832,172419,227749,278904,262309,
11,France,246101,230854,238707,249620,261653,
12,Japan,219516,207415,208847,222527,236236,
13,Singapore,150731,152238,163688,175852,183581,
14,Nepal,126416,154720,161097,164018,174096,
15,Thailand,121362,115860,119663,140087,166293,
16,Afghanistan,115569,114406,123330,149176,153905,
17,Republic of Korea,106870,102993,111076,142383,150536,
18,Italy,91589,88091,95417,111915,126931,
19,Oman,88512,103740,105705,107217,95160,
20,Spain,66463,65694,76342,81442,84356,
21,Netherlands,67747,66181,71840,76652,81615,
22,Myanmar (burma),54631,55341,51376,56952,75773,
23,Portugal,36156,44616,54439,66378,74492,
24,Iraq,48321,42660,48227,56230,68462,
25,Israel,49312,50134,59231,58131,67366,
26,Maldives,65052,68907,67457,66150,62337,
27,New Zealand,42864,45171,50917,56597,60664,
28,United Arab Emirates,59332,55818,67615,67238,59971,
29,South Africa,56246,51922,52636,57060,58613,
30,Philippines,43240,47912,52692,53963,53473,
31,Taiwan,35857,36349,42327,47043,49457,
32,Switzerland,45773,46151,48123,49607,49322,
33,Kenya,46158,46139,44783,46011,48845,
34,Saudi Arabia,55487,63835,61605,52976,47546,
35,Indonesia,32215,34933,35084,43973,46867,
36,Sweden,44948,42626,43689,45851,46743,
37,Belgium,37441,36684,37960,41902,44086,
38,Mauritius,27945,32533,34280,37706,42096,
39,Pakistan,96434,124924,104720,44266,41659,
40,Ireland,28978,32973,36440,37993,39276,
41,Iran,31222,30774,39184,42641,35596,
42,Sudan,11896,13704,17093,22762,34712,
43,Turkey,24294,25670,29545,33251,33825,
44,Austria,34360,33670,33089,31832,33200,
45,Poland,25205,26499,25706,28674,31555,
46,Vietnam,15132,15341,16728,23771,31427,
47,Denmark,26775,24073,24717,26761,28195,
48,Brazil,19563,20610,21289,24453,26579,
49,Bhutan,16001,19084,20940,25267,26470,
50,Ukraine,29281,23098,26753,25988,26260,
51,Turkmenistan,5547,9805,14302,17653,25038,
52,Ethiopia,13133,14547,20555,23215,24277,
53,United Republic of Tanzania,26284,25488,23026,22261,23443,
54,Norway,19690,19757,20148,20882,22631,
55,Uzbekistan,12869,18038,21605,23257,21686,
56,Yemen,34207,20901,19383,21695,21674,
57,Finland,18765,18129,18371,20384,21239,
58,Egypt,16715,19168,20864,20528,20486,
59,Mexico,13978,14049,15689,18114,19909,
60,Argentina,9731,9351,12308,14875,16345,
61,Other Countries,304948,304537,319339,339934,350363,
Total,Total,7679099,8027133,8804411,10035803,10557976,
,,,,,,,
